"parameter","label","weighted_est","weighted_se","weighted_ci_lower","weighted_ci_upper","unweighted_est","unweighted_se","diff_est","diff_pct"
"a1","X → M₁ (EmoDiss)",0.123843947861001,0.0506076693129034,0.0246547386661973,0.223033157055804,0.127973603178707,0.0467798192422203,0.00412965531770601,3.33456369005696
"a2","X → M₂ (QualEngag)",-0.0105486934624424,0.0485473443873178,-0.105699740006648,0.0846023530817632,-0.0177354479082496,0.0467594828327538,0.0071867544458072,68.1293325225057
"b1","M₁ → Y",-0.198780704311974,0.00980086657718694,-0.217990049820543,-0.179571358803406,-0.191588629980692,0.00831065636093968,0.007192074331282,3.61809480259939
"b2","M₂ → Y",0.159166134188871,0.00810840882662242,0.143273944916764,0.175058323460977,0.16071185796629,0.00741790782261469,0.00154572377741902,0.971138606397777
"c","X → Y (direct)",0.0181536595984706,0.0189516313943754,-0.0189908553827838,0.055298174579725,0.0188659423164562,0.0179629423375343,0.000712282717985603,3.92363156377357
"a1z","XZ → M₁ (moderation)",0.0233832174773145,0.0184796280695142,-0.0128361879866288,0.0596026229412577,0.021243431086461,0.0168555276517919,0.0021397863908535,9.15094936327491
"a2z","XZ → M₂ (moderation)",-0.0184325474895053,0.0176050969342247,-0.0529379034249222,0.0160728084459117,-0.0148579643485945,0.016852954814348,0.0035745831409108,19.3927786864296
"cz","XZ → Y (moderation)",0.00137910345150077,0.00693713940425993,-0.0122174399365823,0.0149756468395839,0.000889367781469885,0.00647091025996494,0.000489735670030885,35.5111626686123
"ind_EmoDiss_z_mid","Indirect (EmoDiss)",-0.0246177871805852,0.0101452638084289,-0.0445021388587635,-0.0047334355024069,-0.0245182873067012,0.00902273081477257,9.94998738840028e-05,0.404178788101935
"ind_QualEngag_z_mid","Indirect (QualEngag)",-0.00167899475916036,0.00772671962321723,-0.016823086939305,0.0134650974209843,-0.00285029678519914,0.00751592092527004,0.00117130202603878,69.7621013793117
"index_MM_EmoDiss","IMM (EmoDiss)",-0.00464813243922064,0.00368412507047725,-0.0118688848918971,0.00257262001345585,-0.0040699998579443,0.00323389622688733,0.00057813258127634,12.4379541425734
"index_MM_QualEngag","IMM (QualEngag)",-0.00293383732715733,0.0028078288919672,-0.00843708083016405,0.0025694061758494,-0.00238785105605952,0.00271059330714403,0.00054598627109781,18.6099708407088
"total_z_mid","Total Effect",-0.00814312234127497,0.0229427078587725,-0.053110003452293,0.0368237587697431,-0.00850264177544413,0.0212117043069659,0.000359519434169162,4.41500715698288
