lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.66321102493948	0.862313851145423	0.862313851145423
Belong	=~	sbmyself		0.993985194982646	0.0141029000098299	70.4809077771116	0	0.659221939939109	0.841823403778967	0.841823403778967
Belong	=~	sbcommunity		1.01285018942461	0.0135340605062362	74.8371258542779	0	0.671733412238442	0.889724699825096	0.889724699825096
Gains	=~	pganalyze		1	0	NA	NA	0.507858101000436	0.709437873026222	0.709437873026222
Gains	=~	pgthink		1.02020699088253	0.0210551037212685	48.4541422539742	0	0.518120385016969	0.77995199475636	0.77995199475636
Gains	=~	pgwork		1.03046494442057	0.022002336968072	46.8343406391739	0	0.523329969820952	0.74439273237207	0.74439273237207
Gains	=~	pgvalues		1.00005575727584	0.0227339671393332	43.9894960323749	0	0.50788641778466	0.698046515990076	0.698046515990076
Gains	=~	pgprobsolve		1.0106076120754	0.021271732031283	47.5094181606445	0	0.513245262725199	0.759077893138913	0.759077893138913
SupportEnv	=~	SEacademic		1	0	NA	NA	0.604308387425806	0.827710692115622	0.827710692115622
SupportEnv	=~	SEwellness		0.996007808807885	0.0154901622411218	64.2993787478726	0	0.601895872804203	0.808913411975052	0.808913411975052
SupportEnv	=~	SEnonacad		1.00761422018399	0.016616262237814	60.6402454272137	0	0.608909724546695	0.774101715172458	0.774101715172458
SupportEnv	=~	SEactivities		0.978432099148667	0.0174161253412783	56.1796656819912	0	0.591274724042177	0.732212062509543	0.732212062509543
SupportEnv	=~	SEdiverse		1.00971477910121	0.016312888145996	61.8967512107322	0	0.610179109918659	0.786860913001841	0.786860913001841
Satisf	=~	sameinst		1	0	NA	NA	0.599631491854872	0.897989168069852	0.897989168069852
Satisf	=~	evalexp		0.952191220956228	0.0244239621504851	38.9859440122543	0	0.570963842353095	0.843985336211384	0.843985336211384
DevAdj	=~	Belong		1	0	NA	NA	0.470570400357402	0.470570400357402	0.470570400357402
DevAdj	=~	Gains		0.499219991861486	0.0325017721691465	15.3597775919243	0	0.306779211918239	0.306779211918239	0.306779211918239
DevAdj	=~	SupportEnv		0.926919595754219	0.0438149675872998	21.1553185314439	0	0.47869598458121	0.47869598458121	0.47869598458121
DevAdj	=~	Satisf		0.958747628893558	0.0447419225499608	21.4283958813567	0	0.498995021360563	0.498995021360563	0.498995021360563
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.988359901715287	0.903093190560291	0.903093190560291
EmoDiss	=~	MHWdlonely		1.01243222625024	0.00985857440766576	102.695601248696	0	1.00064741563008	0.922316702595657	0.922316702595657
EmoDiss	=~	MHWdmental		1.01049941507307	0.00929015964675746	108.770941888578	0	0.998737102564976	0.941376169728623	0.941376169728623
EmoDiss	=~	MHWdexhaust		1.00254588033307	0.0095380350721924	105.110315986983	0	0.99087614775106	0.928045953305919	0.928045953305919
EmoDiss	=~	MHWdsleep		1.00716444595656	0.00987390214719968	102.002676443598	0	0.995440952816756	0.918250655204522	0.918250655204522
EmoDiss	=~	MHWdfinancial		0.989263359066696	0.0115407064717866	85.7194801275929	0	0.977748236337694	0.856246425552168	0.856246425552168
QualEngag	=~	QIadmin		1	0	NA	NA	0.981676799377147	0.884910307599663	0.884910307599663
QualEngag	=~	QIstudent		1.02195034914639	0.0109073241478893	93.6939560326665	0	1.00322494787238	0.905109423596239	0.905109423596239
QualEngag	=~	QIadvisor		1.02061281490481	0.0102669291308613	99.4077977841452	0	1.00191192153905	0.927959293839136	0.927959293839136
QualEngag	=~	QIfaculty		1.02261783568862	0.0102442957887564	99.823146146462	0	1.00388020392479	0.929568258861764	0.929568258861764
QualEngag	=~	QIstaff		1.02231661342795	0.0105807740949734	96.6202098496379	0	1.00358450102003	0.917422497184862	0.917422497184862
EmoDiss	~	x_FASt	a1	0.130407871744134	0.0361691381889292	3.60550121661594	0.000311551031325186	0.131943709490655	0.0652312374298524	0.131943709490655
EmoDiss	~	XZ_c	a1z	0.0307411996599491	0.0133881418240146	2.29615133033681	0.0216672302279393	0.0311032444827012	0.0424468916841931	0.0311032444827012
EmoDiss	~	cohort	g1	0.0139907648895805	0.0287295628371743	0.486981475105401	0.626271458905141	0.0141555367283716	0.0070769383196317	0.0141555367283716
EmoDiss	~	hgrades_c		-0.0327438786991372	0.0152685717900334	-2.14452793289487	0.0319906097556322	-0.0331295094452037	-0.0319983676945132	-0.0331295094452037
EmoDiss	~	bparented_c		0.00997876093765545	0.0149211909746201	0.668764373743936	0.503645796082362	0.0100962826601296	0.00973923687279765	0.0100962826601296
EmoDiss	~	pell		0.12265085916542	0.0291458533877012	4.20817526026448	2.57441166000572e-05	0.124095341132882	0.0615674641417061	0.124095341132882
EmoDiss	~	hapcl		-0.0760740255862226	0.0342392951973708	-2.22183386508681	0.0262945351808981	-0.0769699635266435	-0.0330794110866964	-0.0769699635266435
EmoDiss	~	hprecalc13		-0.0561204329889115	0.0305634875756366	-1.83619205269124	0.0663292576475081	-0.0567813737602215	-0.0268305027273621	-0.0567813737602215
EmoDiss	~	hchallenge_c		-0.015232522972447	0.0118970580697163	-1.28036047930379	0.200418386437344	-0.0154119192270054	-0.0186219799267889	-0.0154119192270054
EmoDiss	~	cSFcareer_c		-0.000230350333147628	0.0180523331115066	-0.0127601419564324	0.989819156016304	-0.000233063211839997	-0.000185568281861692	-0.000233063211839997
QualEngag	~	x_FASt	a2	-0.0143433618309052	0.0360081848542217	-0.398336152987828	0.690382414455038	-0.0146110836479031	-0.00722352789854906	-0.0146110836479031
QualEngag	~	XZ_c	a2z	-0.0285535434257856	0.0133317196638777	-2.14177496569715	0.0322115948614279	-0.0290865012231136	-0.0396946230987679	-0.0290865012231136
QualEngag	~	cohort	g2	0.0265783929514234	0.0286139686412827	0.928860770228058	0.352961245793251	0.027074484156381	0.0135356544995236	0.027074484156381
QualEngag	~	hgrades_c		0.0677800400285127	0.0152152184235244	4.45475300727311	8.39898302018582e-06	0.0690451685030324	0.0666877574189226	0.0690451685030324
QualEngag	~	bparented_c		0.00837697266518858	0.0148609540879796	0.563690097930145	0.572965057511199	0.00853333059363692	0.00823155717435649	0.00853333059363692
QualEngag	~	pell		-0.142399081964533	0.0290360744925412	-4.90421258566177	9.38028578589822e-07	-0.145056990299539	-0.0719671743293534	-0.145056990299539
QualEngag	~	hapcl		0.12518960471275	0.0341063368554039	3.6705672979042	0.000242012738002728	0.127526294593272	0.0548070251034189	0.127526294593272
QualEngag	~	hprecalc13		0.0653206391017665	0.0304398176768791	2.14589455808014	0.031881392082171	0.0665398623490043	0.0314416126276247	0.0665398623490043
QualEngag	~	hchallenge_c		0.000202169898114825	0.0118493545169662	0.0170616802649759	0.986387409178074	0.000205943441103118	0.000248838225128778	0.000205943441103118
QualEngag	~	cSFcareer_c		-0.0100421795804568	0.017977974596163	-0.558582365702089	0.576446777711173	-0.0102296189406007	-0.0081449697527138	-0.0102296189406007
DevAdj	~	x_FASt	c	0.067113775680458	0.0140220538283517	4.78630138651717	1.69882891443152e-06	0.215047960950646	0.106316888116373	0.215047960950646
DevAdj	~	XZ_c	cz	-0.00180296474601184	0.00515034936569126	-0.350066494133812	0.726288795665805	-0.00577711339236488	-0.00788408124269476	-0.00577711339236488
DevAdj	~	EmoDiss	b1	-0.184523491840895	0.00818631542729752	-22.540481548707	0	-0.584373399743747	-0.584373399743747	-0.584373399743747
DevAdj	~	QualEngag	b2	0.169700831554603	0.00767451371508474	22.112258555359	0	0.533797031819823	0.533797031819823	0.533797031819823
DevAdj	~	cohort	g3	-0.0131401792672518	0.0110474660577178	-1.18942924998371	0.234270796388138	-0.042104154166538	-0.0210496082031028	-0.042104154166538
DevAdj	~	hgrades_c		0.0182494303498304	0.0059029940505751	3.09155492847777	0.00199111140283947	0.0584753688114225	0.0564788426884195	0.0584753688114225
DevAdj	~	bparented_c		0.0034371541249795	0.0057344225146478	0.599389758288609	0.548913005042574	0.0110134317218152	0.0106239517980932	0.0110134317218152
DevAdj	~	pell		-0.0442781876398926	0.0112848840096179	-3.92367237466998	8.72093151635944e-05	-0.141877488935876	-0.0703897272277234	-0.141877488935876
