lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.531064685835349	0.712925161776799	0.712925161776799
Belong	=~	sbmyself		0.941214769132198	0.0249330042034601	37.7497537581765	0	0.499845925672781	0.694847115002299	0.694847115002299
Belong	=~	sbcommunity		1.07920059632666	0.0284147657613776	37.9802742485933	0	0.573125325641539	0.726085201704612	0.726085201704612
Gains	=~	pganalyze		1	0	NA	NA	0.375747247873316	0.610027862779187	0.610027862779187
Gains	=~	pgthink		0.727889794331094	0.0294373908204589	24.7267089250727	0	0.273502586974983	0.485154800490596	0.485154800490596
Gains	=~	pgwork		0.757714135853542	0.0301604599616906	25.122764600274	0	0.284709001221677	0.493697580527366	0.493697580527366
Gains	=~	pgvalues		0.810228946059228	0.0305974051173243	26.4803156657384	0	0.304441296629053	0.532910310812169	0.532910310812169
Gains	=~	pgprobsolve		0.972402450335013	0.0345254690172188	28.1647861134065	0	0.36537754453865	0.599091771881843	0.599091771881843
SupportEnv	=~	SEacademic		1	0	NA	NA	0.289334295562027	0.550600675400338	0.550600675400338
SupportEnv	=~	SEwellness		1.21906550078151	0.0427214815720723	28.5351878240673	0	0.352717457912589	0.602831686314573	0.602831686314573
SupportEnv	=~	SEnonacad		1.27821228246646	0.0441344564430598	28.9617769308103	0	0.369830650326164	0.619422901291016	0.619422901291016
SupportEnv	=~	SEactivities		1.42069105055198	0.0468795356542077	30.3051434005504	0	0.411054644322734	0.666359521277004	0.666359521277004
SupportEnv	=~	SEdiverse		1.10759400337906	0.0402907533438871	27.4900296334891	0	0.320464930736405	0.558795853291328	0.558795853291328
Satisf	=~	sameinst		1	0	NA	NA	0.440977176331719	0.68895627145374	0.68895627145374
Satisf	=~	evalexp		1.1364725588296	0.0543967015610906	20.8923064490092	0	0.50115845997116	0.740031969011341	0.740031969011341
DevAdj	=~	Belong		1	0	NA	NA	0.545763612250248	0.545763612250248	0.545763612250248
