panel,group,credit,value,weight,bin_label,se,ci_low,ci_high
scatter_distress,Non-FASt,3.0,4.0,0.663318424578825,NA,NA,NA,NA
scatter_distress,Non-FASt,5.0,4.5,0.624779941576333,NA,NA,NA,NA
scatter_distress,Non-FASt,9.0,5.4,0.510875912237029,NA,NA,NA,NA
scatter_distress,FASt,32.0,2.1666666666666665,1.92751284083461,NA,NA,NA,NA
scatter_distress,Non-FASt,10.0,5.166666666666667,0.657351645660764,NA,NA,NA,NA
scatter_distress,Non-FASt,8.0,2.6666666666666665,0.875157521869184,NA,NA,NA,NA
scatter_distress,FASt,18.0,5.2,1.96835495842967,NA,NA,NA,NA
scatter_distress,Non-FASt,10.0,4.166666666666667,0.570107411443023,NA,NA,NA,NA
scatter_distress,FASt,18.0,4.166666666666667,1.9266959550256,NA,NA,NA,NA
scatter_distress,Non-FASt,9.0,5.2,0.60881746131025,NA,NA,NA,NA
scatter_distress,Non-FASt,9.0,4.2,0.600697209301754,NA,NA,NA,NA
scatter_distress,FASt,38.0,4.5,1.96490366864774,NA,NA,NA,NA
scatter_distress,FASt,19.0,4.333333333333333,1.78020312109958,NA,NA,NA,NA
scatter_distress,Non-FASt,7.0,3.0,0.770194155283072,NA,NA,NA,NA
scatter_distress,FASt,13.0,4.6,2.06430401063386,NA,NA,NA,NA
scatter_distress,FASt,18.0,4.666666666666667,2.00378974789214,NA,NA,NA,NA
scatter_distress,Non-FASt,9.0,4.833333333333333,0.631228549888417,NA,NA,NA,NA
scatter_distress,Non-FASt,9.0,3.25,0.552279717413633,NA,NA,NA,NA
scatter_distress,Non-FASt,7.0,3.5,0.618273580362865,NA,NA,NA,NA
scatter_distress,Non-FASt,10.0,4.833333333333333,0.708188716838274,NA,NA,NA,NA
scatter_distress,Non-FASt,3.0,3.1666666666666665,0.658092259847224,NA,NA,NA,NA
scatter_distress,Non-FASt,1.0,3.2,0.782519979561843,NA,NA,NA,NA
scatter_distress,Non-FASt,2.0,4.333333333333333,0.619144696160355,NA,NA,NA,NA
scatter_distress,Non-FASt,7.0,6.0,0.663177841249515,NA,NA,NA,NA
scatter_distress,Non-FASt,10.0,4.6,0.686997649644598,NA,NA,NA,NA
