"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Belong","=~","SB1",1,1,".p1.",0.821815092707071,0.0818372757667381,10.0420631675167,0,0.661416979611392,0.98221320580275,1.69294073075832,0.861009840640355,0.861009840640355
"Belong","=~","SB2",1,1,".p2.",0.713552440032656,0.0655018761752808,10.8936183464915,0,0.585171121809303,0.841933758256008,1.46991945023069,0.826807537771446,0.826807537771446
"Belong","=~","SB3",1,1,".p3.",0.697449328859298,0.0647232209247925,10.7758748544008,0,0.570594146883275,0.82430451083532,1.43674700908276,0.820764896125791,0.820764896125791
"Gains","=~","PG1",1,1,".p4.",0.73495289050164,0.0643057055604069,11.4290463668305,0,0.608916023602805,0.860989757400474,1.55719497032063,0.841437422493986,0.841437422493986
"Gains","=~","PG2",1,1,".p5.",0.700026115926159,0.0608505681731815,11.5040193862098,0,0.580761193867924,0.819291037984394,1.48319322354018,0.829148078673975,0.829148078673975
"Gains","=~","PG3",1,1,".p6.",0.812471580102766,0.0751936800443146,10.8050514301726,0,0.665094675350881,0.959848484854651,1.72143912135775,0.86468974879913,0.86468974879913
"Gains","=~","PG4",1,1,".p7.",0.681398580173232,0.0605586660766116,11.2518756491632,0,0.562705775711286,0.800091384635178,1.44372578915248,0.822059587445452,0.822059587445452
"Gains","=~","PG5",1,1,".p8.",0.710285048847958,0.064402501362096,11.0288425732792,0,0.584058465663958,0.836511632031958,1.5049295265783,0.832888787450671,0.832888787450671
"SuppEnv","=~","SE1",1,1,".p9.",0.651752506738226,0.0659897547901907,9.87657112547884,0,0.522414964000823,0.781090049475629,1.45185450620556,0.823551705127745,0.823551705127745
"SuppEnv","=~","SE2",1,1,".p10.",0.782203609669823,0.0842856519456975,9.28038867367096,0,0.617006767442778,0.947400451896869,1.74244950917468,0.867316510274316,0.867316510274316
"SuppEnv","=~","SE3",1,1,".p11.",0.709367731541237,0.0731313003811141,9.69991956719573,0,0.566033016651673,0.852702446430801,1.58019911998377,0.845010650102681,0.845010650102681
"DevAdj","=~","Belong",1,1,".p12.",1.48379891058134,0.129149014087097,11.4890455886924,0,1.23067149433178,1.73692632683091,0.874271970965192,0.874271970965192,0.874271970965192
"DevAdj","=~","Gains",1,1,".p13.",1.53894292557804,0.132959867497313,11.5744920218812,0,1.27834637389409,1.79953947726199,0.881613378275008,0.881613378275008,0.881613378275008
"DevAdj","=~","SuppEnv",1,1,".p14.",1.6399595050908,0.158733551862247,10.3315240278501,0,1.32884746030267,1.95107154987892,0.893576802788189,0.893576802788189,0.893576802788189
"M1","=~","MHWdacad",1,1,".p15.",1.23489247926582,0.0714828949165035,17.2753563031863,0,1.09478857971881,1.37499637881283,1.34116609147268,0.801682375254592,0.801682375254592
"M1","=~","MHWdlonely",1,1,".p16.",1.32636600399854,0.0844769733555261,15.7009176739376,0,1.16079417869875,1.49193782929832,1.44051173629509,0.821464899072365,0.821464899072365
"M1","=~","MHWdmental",1,1,".p17.",1.32320468164072,0.0791918774199202,16.7088434414092,0,1.16799145402956,1.47841790925187,1.43707835369562,0.82082665425454,0.82082665425454
"M1","=~","MHWdpeers",1,1,".p18.",1.23311429662373,0.0715997101955666,17.2223364208545,0,1.09278144333691,1.37344714991055,1.33923488021011,0.801269335174371,0.801269335174371
"M1","=~","MHWdexhaust",1,1,".p19.",1.3888816560367,0.0815987007137447,17.0208795469553,0,1.2289511414525,1.5488121706209,1.5084074228489,0.833476933999052,0.833476933999052
"M2","=~","QIstudent",1,1,".p20.",1.40550006808495,0.0890698850527838,15.7797449413125,0,1.23092630127438,1.58007383489553,1.49099695385528,0.830504056708901,0.830504056708901
"M2","=~","QIfaculty",1,1,".p21.",1.30562016460887,0.0845539645176068,15.4412649017421,0,1.13989743940428,1.47134288981346,1.38504133334997,0.810764692813339,0.810764692813339
"M2","=~","QIadvisor",1,1,".p22.",1.3298243230319,0.0873771257645898,15.2193644663329,0,1.15856830346067,1.50108034260312,1.41071783618254,0.815822161961682,0.815822161961682
"M2","=~","QIstaff",1,1,".p23.",1.52793285310954,0.102306077725537,14.9349177202221,0,1.32741662536794,1.72844908085115,1.62087735277438,0.851063186471013,0.851063186471013
"M1","~","X",1,1,"a1_1",-0.0245381414664426,0.092756469459112,-0.264543719802307,0.791360980778326,-0.206337480939392,0.157261198006506,-0.0225937462516647,-0.0112127460610029,-0.0225937462516647
"M1","~","XZ_c",1,1,"a1xz_1",0.077997833257529,0.0850121129574139,0.917490820356405,0.358885501001842,-0.088622846388653,0.244618512903711,0.0718173075662747,0.051448376815746,0.0718173075662747
"M1","~","Zplus10_c",1,1,"a1z",0.394497877276417,0.0330122484300696,11.9500456962842,0,0.329795059304792,0.459200695248043,0.363237979868731,0.311950203738516,0.363237979868731
"M1","~","cohort",1,1,"g1",0.0349211316312655,0.0386193182519558,0.904239981747918,0.365868163937716,-0.0407713412500581,0.110613604512589,0.032153991286455,0.0160854747158411,0.032153991286455
"M1","~","bchsgrade",1,1,"",-0.171200506765043,0.0434645259674048,-3.93885595102156,8.18710637235931e-05,-0.256389412266263,-0.086011601263824,-0.157634628249886,-0.159133764524229,-0.157634628249886
"M1","~","bcsmath",1,1,"",-0.00397643079121001,0.0403846802109225,-0.0984638424878387,0.921563981918655,-0.0831289495317856,0.0751760879493655,-0.00366133956831125,-0.00377860782291476,-0.00366133956831125
"M1","~","bparented",1,1,"",0.0656043219184988,0.041595237232184,1.57720754307269,0.114747777926094,-0.0159208449849813,0.147129488821979,0.0604058544721552,0.059050030760882,0.0604058544721552
"M1","~","firstgen",1,1,"",0.171872545426536,0.0847576591815408,2.02781137523401,0.0425795029433427,0.00575058601679532,0.337994504836276,0.158253414762705,0.0747697305069813,0.158253414762705
"M1","~","bchwork",1,1,"",0.0511888984465983,0.0417018965540465,1.22749569387705,0.219636339296376,-0.0305453168863479,0.132923113779544,0.0471327049763051,0.04481145567263,0.0471327049763051
"M1","~","bcnonacad",1,1,"",0.066353333798385,0.0394082052722499,1.68374411724629,0.0922311312689585,-0.0108853292305862,0.143591996827356,0.061095514867861,0.0614318870036248,0.061095514867861
"M1","~","bcscourses",1,1,"",0.141893102682378,0.0406578860604108,3.48992818936894,0.000483150357125872,0.06220511031644,0.221581095048316,0.130649534368824,0.134834265397822,0.130649534368824
"M1","~","bchstudy",1,1,"",-0.039257797409626,0.0400933880513129,-0.979158891720063,0.327501476782036,-0.117839394008388,0.0393237991891359,-0.0361470209259878,-0.0365533938666772,-0.0361470209259878
"M1","~","bdegexp",1,1,"",-0.0120829275853169,0.0411558978555639,-0.293589211143485,0.76907182091707,-0.0927470051336313,0.0685811499629976,-0.0111254799069942,-0.0111844839858623,-0.0111254799069942
"M2","~","X",1,1,"a2",0.196988571268075,0.0422141087335902,4.66641549893317,3.06499607893862e-06,0.114250438510781,0.27972670402537,0.185692834323597,0.0921549960518373,0.185692834323597
"M2","~","Zplus10_c",1,1,"a2z",-0.0654483799883892,0.0337449298380987,-1.93950262461345,0.0524401652491062,-0.131587227131894,0.00069046715511524,-0.0616954329060684,-0.0529842800902571,-0.0616954329060684
"M2","~","M1",1,1,"d",-0.257437842655816,0.0249319644853221,-10.325614044869,0,-0.306303595110879,-0.208572090200753,-0.263560256263574,-0.263560256263574,-0.263560256263574
"M2","~","cohort",1,1,"g2",-0.0574913292220897,0.0397906175708075,-1.44484636660348,0.14850104400716,-0.135479506583479,0.0204968481392997,-0.0541946560836397,-0.0271116192823725,-0.0541946560836397
"M2","~","bchsgrade",1,1,"",0.0312740914732355,0.0429647469407372,0.727901214369376,0.466674059762687,-0.0529352651354868,0.115483448081958,0.0294807696161088,0.029761137525227,0.0294807696161088
"M2","~","bcsmath",1,1,"",0.0809451619851863,0.0379624577545257,2.13224239875608,0.0329869246032615,0.00654011202169255,0.15535021194868,0.0763035969906946,0.0787475084258734,0.0763035969906946
"M2","~","bparented",1,1,"",0.0804661912753552,0.0405420413790176,1.98475924098386,0.0471712642555915,0.00100525031274808,0.159927132237962,0.0758520914637802,0.074149573304656,0.0758520914637802
"M2","~","firstgen",1,1,"",-0.00583142381443664,0.0821703947313513,-0.070967455292164,0.943423657074886,-0.166882438083325,0.155219590454452,-0.00549703776860863,-0.00259717639054969,-0.00549703776860863
"M2","~","bchwork",1,1,"",-0.0553091467445004,0.0406624302937714,-1.36020268205594,0.173765794082005,-0.135006045644163,0.0243877521551619,-0.0521376045163008,-0.0495698677772447,-0.0521376045163008
"M2","~","bcnonacad",1,1,"",-0.0850542485694667,0.0395426700737974,-2.15094854269407,0.0314802614420813,-0.162556457766659,-0.00755203937227407,-0.0801770599505214,-0.0806184888991627,-0.0801770599505214
"M2","~","bcscourses",1,1,"",-0.0234000314555656,0.0383539461697462,-0.610107532403633,0.541790577280982,-0.0985723846132562,0.0517723217021249,-0.022058224679096,-0.0227647540801012,-0.022058224679096
"M2","~","bchstudy",1,1,"",0.0720767121530727,0.0383837745053821,1.87779115216942,0.0604097411285844,-0.00315410346818301,0.147307527774328,0.0679436826323092,0.0687075207967071,0.0679436826323092
"M2","~","bdegexp",1,1,"",0.0541679747585641,0.0390506914773885,1.38711947751115,0.165405333677128,-0.0223699741085026,0.130705923625631,0.0510618697203424,0.0513326767878411,0.0510618697203424
"DevAdj","~","X",1,1,"c",0.202912724602037,0.0470074403641749,4.31660866939438,1.58444694386972e-05,0.11077983448284,0.295045614721234,0.167174538913456,0.0829648006055532,0.167174538913456
"DevAdj","~","Zplus10_c",1,1,"cz",0.0682817867539628,0.0292958405106857,2.33076728858682,0.0197656338696859,0.0108629944561894,0.125700579051736,0.0562555957945385,0.0483125266137639,0.0562555957945385
"DevAdj","~","M1",1,1,"b1",-0.351611275539245,0.0338315207797783,-10.3930082785226,0,-0.417919837809829,-0.285302713268661,-0.314613290020368,-0.314613290020368,-0.314613290020368
"DevAdj","~","M2",1,1,"b2",0.38977211990281,0.0321620981931154,12.118989176715,0,0.326735565777063,0.452808674028557,0.340657149447431,0.340657149447431,0.340657149447431
"DevAdj","~","cohort",1,1,"g3",0.0172189016131161,0.0433548154351881,0.397162378395012,0.691247723172882,-0.0677549751962338,0.102192778422466,0.0141862071164558,0.00709684448977139,0.0141862071164558
"DevAdj","~","bchsgrade",1,1,"",0.0641700930713497,0.0488106959417735,1.31467277475204,0.188619900241829,-0.0314971130348617,0.159837299177561,0.0528680778510861,0.0533708636548227,0.0528680778510861
"DevAdj","~","bcsmath",1,1,"",0.00347331508209887,0.0426563345839448,0.0814255400980039,0.935103538483862,-0.0801315644149232,0.0870781945791209,0.00286157434675343,0.00295322709373334,0.00286157434675343
"DevAdj","~","bparented",1,1,"",0.0531428706818397,0.0454555881176257,1.16911633712277,0.242356762565272,-0.0359484449247935,0.142234186288473,0.043783034899354,0.04280031431065,0.043783034899354
"DevAdj","~","firstgen",1,1,"",-0.11131393318909,0.0918652117815847,-1.21170931879791,0.225623670692805,-0.29136643971314,0.0687385733349611,-0.0917086668272087,-0.0433294429324435,-0.0917086668272087
"DevAdj","~","bchwork",1,1,"",-0.0768394784454238,0.0467733392587519,-1.64280506081349,0.10042327279288,-0.168513538829251,0.0148345819384033,-0.0633060563582578,-0.0601882819951294,-0.0633060563582578
"DevAdj","~","bcnonacad",1,1,"",-0.0556602273824611,0.0455963499948967,-1.22071673256063,0.22219329016884,-0.145027431198942,0.0337069764340195,-0.0458570198923231,-0.0461094938055768,-0.0458570198923231
"DevAdj","~","bcscourses",1,1,"",0.0589866007768874,0.0431440013807862,1.3672028298042,0.171561738620327,-0.0255740880784,0.143547289632175,0.048597532787992,0.0501541215992199,0.048597532787992
"DevAdj","~","bchstudy",1,1,"",0.0498468598784886,0.0424982953294072,1.17291433673097,0.240830159695726,-0.0334482683714962,0.133141988128473,0.0410675369561636,0.0415292274449571,0.0410675369561636
"DevAdj","~","bdegexp",1,1,"",0.0910341812951049,0.044410383975013,2.04983999567138,0.0403800472407154,0.0039914281644847,0.178076934425725,0.0750007044320196,0.0753984713163663,0.0750007044320196
"SB1","|","t1",1,1,".p64.",-1.2698901680787,0.135188831170769,-9.39345474830381,0,-1.53485540828547,-1.00492492787193,-1.2698901680787,-0.645851276056447,-0.645851276056447
"SB1","|","t2",1,1,".p65.",0.094133148809779,0.10162001665442,0.926324870914937,0.35427717458566,-0.105038423941244,0.293304721560802,0.094133148809779,0.0478750177032944,0.0478750177032944
"SB1","|","t3",1,1,".p66.",1.46626783356229,0.142015758134017,10.3246840549808,0,1.18792206238247,1.74461360474212,1.46626783356229,0.745726658219187,0.745726658219187
"SB2","|","t1",1,1,".p67.",-1.22376184191005,0.115806380229456,-10.5673093268723,0,-1.45073817633974,-0.996785507480366,-1.22376184191005,-0.688347592903476,-0.688347592903476
"SB2","|","t2",1,1,".p68.",-0.015653331516349,0.0889840579151768,-0.175911639490193,0.860363360958312,-0.190058880228322,0.158752217195624,-0.015653331516349,-0.00880476306842632,-0.00880476306842632
"SB2","|","t3",1,1,".p69.",1.20177293947464,0.116604601705236,10.3063937606218,0,0.97323211970074,1.43031375924854,1.20177293947464,0.675979166675723,0.675979166675723
"SB3","|","t1",1,1,".p70.",-0.99181148105136,0.114941401568242,-8.62884450267044,0,-1.21709248845767,-0.76653047364505,-0.99181148105136,-0.566588301263409,-0.566588301263409
"SB3","|","t2",1,1,".p71.",0.177709340366872,0.0912452771840714,1.94760042219363,0.0514627932131069,-0.00112811667328236,0.356546797407026,0.177709340366872,0.101519326203376,0.101519326203376
"SB3","|","t3",1,1,".p72.",1.34966716937011,0.121272401874314,11.1292194143964,0,1.11197762937778,1.58735670936243,1.34966716937011,0.771019133549234,0.771019133549234
"PG1","|","t1",1,1,".p73.",-1.24382066306212,0.120423541740877,-10.3287168362688,0,-1.479846467765,-1.00779485835924,-1.24382066306212,-0.672104182661376,-0.672104182661376
