"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Belong","=~","SB1",1,1,".p1.",0.80144838633466,0.0846137894606662,9.47184130911928,0,0.635608406396299,0.96728836627302,1.62069605862906,0.851036939964279,0.851036939964279
"Belong","=~","SB2",1,1,".p2.",0.738188507412416,0.077724075620832,9.4975527404608,0,0.585852118463917,0.890524896360914,1.49277136854699,0.830810334557109,0.830810334557109
"Belong","=~","SB3",1,1,".p3.",0.731184056563608,0.0792089991080564,9.23107304469448,0,0.575937271060352,0.886430842066864,1.4786069057106,0.828344268721943,0.828344268721943
"Gains","=~","PG1",1,1,".p4.",0.704731835938963,0.0647177743497608,10.8893088957341,0,0.577887329053842,0.831576342824084,1.47880703475442,0.828379451007359,0.828379451007359
"Gains","=~","PG2",1,1,".p5.",0.71868748296895,0.0667596123677639,10.7653034144336,0,0.587841047106278,0.849533918831622,1.50809151993026,0.833423628355117,0.833423628355117
"Gains","=~","PG3",1,1,".p6.",0.795523351076189,0.08167244497752,9.74041307683581,0,0.63544830039092,0.955598401761457,1.66932366027632,0.857854146463436,0.857854146463436
"Gains","=~","PG4",1,1,".p7.",0.686850819096591,0.0662863580868724,10.3618729240854,0,0.556931944579995,0.816769693613186,1.44128556609559,0.821608324439314,0.821608324439314
"Gains","=~","PG5",1,1,".p8.",0.720437192831183,0.0717123124463176,10.0462133803102,0,0.579883643188317,0.860990742474048,1.51176310551941,0.83404174036186,0.83404174036186
"SuppEnv","=~","SE1",1,1,".p9.",0.684581948872388,0.0758048781981393,9.03084293708675,0,0.536007117751589,0.833156779993186,1.43909157604059,0.821201273527094,0.821201273527094
"SuppEnv","=~","SE2",1,1,".p10.",0.722151144850559,0.0783629324558842,9.21546861785841,0,0.568562619514081,0.875739670187037,1.51806753142454,0.835095812381985,0.835095812381985
"SuppEnv","=~","SE3",1,1,".p11.",0.718346689156268,0.0778961356264437,9.22185270654696,0,0.565673068793591,0.871020309518945,1.51007000804536,0.833757096527374,0.833757096527374
"DevAdj","=~","Belong",1,1,".p12.",1.42999372177401,0.140473394103421,10.1798189678624,0,1.1546709285452,1.70531651500281,0.869172648890103,0.869172648890103,0.869172648890103
"DevAdj","=~","Gains",1,1,".p13.",1.50089465627485,0.144000137748354,10.4228695870953,0,1.21865957251927,1.78312974003044,0.879145044370143,0.879145044370143,0.879145044370143
"DevAdj","=~","SuppEnv",1,1,".p14.",1.50436384704599,0.155805139641317,9.65541862424576,0,1.19899138474277,1.8097363093492,0.879605301461058,0.879605301461058,0.879605301461058
"M1","=~","MHWdacad",1,1,".p15.",1.44209733323285,0.094858594202795,15.2026007274559,0,1.25617790497128,1.62801676149443,1.48038366901485,0.82865627768342,0.82865627768342
"M1","=~","MHWdlonely",1,1,".p16.",1.27002401859895,0.0896434492324531,14.1675050377153,0,1.0943260866534,1.44572195054451,1.30374196877245,0.79346984134348,0.79346984134348
"M1","=~","MHWdmental",1,1,".p17.",1.26023729026231,0.0781514144672877,16.1255851714599,0,1.10706333256557,1.41341124795906,1.29369541194943,0.791188448572947,0.791188448572947
"M1","=~","MHWdpeers",1,1,".p18.",1.3383838716588,0.0900306543857492,14.8658685287825,0,1.16192703155816,1.51484071175945,1.373916712012,0.808515491139061,0.808515491139061
"M1","=~","MHWdexhaust",1,1,".p19.",1.29132097641272,0.0861311436955311,14.9924977308727,0,1.12250703682224,1.46013491600321,1.32560434090272,0.7983212076702,0.7983212076702
"M2","=~","QIstudent",1,1,".p20.",1.28325637833223,0.0888745013137128,14.4389713513276,0,1.10906555661339,1.45744720005106,1.38116975888511,0.809985971990922,0.809985971990922
"M2","=~","QIfaculty",1,1,".p21.",1.273685993026,0.0912539229366147,13.9576026108018,0,1.09483159062224,1.45254039542976,1.37086914632707,0.807893073283492,0.807893073283492
"M2","=~","QIadvisor",1,1,".p22.",1.7403090533889,0.157064975995503,11.0801853968941,0,1.43246735720506,2.04815074957273,1.87309588032488,0.882154270993862,0.882154270993862
"M2","=~","QIstaff",1,1,".p23.",1.3279025182064,0.0918886946277253,14.4512066863744,0,1.14780398614966,1.50800105026314,1.42922243120091,0.81935463568773,0.81935463568773
"M1","~","X",1,1,"a1_1",-0.0713526499467001,0.0993005005281662,-0.718552772314186,0.472416521387945,-0.265978054628706,0.123272754735306,-0.0695072962238963,-0.0345804556857875,-0.0695072962238963
"M1","~","XZ_c",1,1,"a1xz_1",-0.127532451433067,0.0969469477118503,-1.31548702092328,0.188346276532033,-0.317544977359381,0.0624800744932476,-0.124234150890535,-0.0879326259545945,-0.124234150890535
"M1","~","Zplus10_c",1,1,"a1z",0.252047653247566,0.0330751667604551,7.62044996093309,2.53130849614536e-14,0.187221517614417,0.316873788880714,0.245529085603732,0.207576915505694,0.245529085603732
"M1","~","cohort",1,1,"g1",0.0454068227657004,0.0405570668942265,1.11957856528733,0.262893393939846,-0.0340835676655653,0.124897213196966,0.0442324914760571,0.0220985955262505,0.0442324914760571
"M1","~","bchsgrade",1,1,"",-0.057003927420067,0.0506846368765445,-1.12467861926119,0.260725245039428,-0.156343990267585,0.0423361354274508,-0.0555296666917319,-0.0540660687346916,-0.0555296666917319
"M1","~","bcsmath",1,1,"",-0.0846091991209887,0.0468523860106418,-1.80586745575286,0.0709390456365528,-0.176438188291615,0.00721979004963742,-0.0824209986729605,-0.0810037518311068,-0.0824209986729605
"M1","~","bparented",1,1,"",0.0100419230340424,0.0470480027568497,0.213439943156362,0.8309838280825,-0.0821704679139242,0.102254313982009,0.0097822143887598,0.00964300033778722,0.0097822143887598
"M1","~","firstgen",1,1,"",0.242751322751874,0.0960116949975506,2.52835160089682,0.0114599521824676,0.0545718584620304,0.430930787041717,0.236473180910045,0.110992129728272,0.236473180910045
"M1","~","bchwork",1,1,"",0.00964986810570971,0.0444052952504639,0.217313454426562,0.82796407251365,-0.0773829113080671,0.0966826475194865,0.00940029895800826,0.00959829607724176,0.00940029895800826
"M1","~","bcnonacad",1,1,"",0.128128048498558,0.0469014794832701,2.73185515489467,0.00629788219305394,0.0362028378897045,0.220053259107412,0.124814344361865,0.122073805439569,0.124814344361865
"M1","~","bcscourses",1,1,"",0.0506526825324871,0.0429654438053852,1.1789167769783,0.238431316503311,-0.0335580399058475,0.134863404970822,0.0493426805024133,0.0536151983319661,0.0493426805024133
"M1","~","bchstudy",1,1,"",0.0762947647216893,0.0452981788350676,1.68427885367051,0.0921277901564692,-0.0124880343602977,0.165077563803676,0.0743215958454838,0.0764159887846495,0.0743215958454838
"M1","~","bdegexp",1,1,"",-0.0380666676934919,0.0461485174355418,-0.824873036206673,0.409443676018407,-0.128516099807072,0.0523827644200887,-0.0370821707337379,-0.0370258353585037,-0.0370821707337379
"M2","~","X",1,1,"a2",0.198665863021216,0.0434460980351754,4.57269748045887,4.81485066550214e-06,0.113513075603476,0.283818650438956,0.184582115441508,0.0918311315527704,0.184582115441508
"M2","~","Zplus10_c",1,1,"a2z",-0.0673098217816266,0.0342223699969871,-1.96683694868452,0.0492020113896361,-0.134384434441325,-0.000235209121927801,-0.0625381185549565,-0.052871413255367,-0.0625381185549565
"M2","~","M1",1,1,"d",-0.246713768013942,0.0255739780178683,-9.64706264475417,0,-0.296837843870383,-0.196589692157501,-0.235309504202142,-0.235309504202142,-0.235309504202142
